,Nasdaq Traded,Symbol,Security Name,Listing Exchange,Market Category,ETF,Round Lot Size,Test Issue,Financial Status,CQS Symbol,NASDAQ Symbol,NextShares
2963,Y,DWAT,Arrow Investments Trust Arrow DWA Tactical ETF,Z, ,Y,100.0,N,,DWAT,DWAT,N
2964,Y,DWAW,AdvisorShares Dorsey Wright FSM All Cap World ETF,Q,G,Y,100.0,N,N,,DWAW,N
2965,Y,DWCR,Arrow Investments Trust Arrow DWA Country Rotation ETF,Z, ,Y,100.0,N,,DWCR,DWCR,N
2966,Y,DWLD,Davis Fundamental ETF Trust Davis Select Worldwide ETF,Z, ,Y,100.0,N,,DWLD,DWLD,N
2967,Y,DWM,WisdomTree International Equity Fund,P, ,Y,100.0,N,,DWM,DWM,N
2968,Y,DWMC,AdvisorShares Dorsey Wright Small Company ETF,Q,G,Y,100.0,N,N,,DWMC,N
2969,Y,DWMF,WisdomTree International Multifactor Fund,P, ,Y,100.0,N,,DWMF,DWMF,N
2970,Y,DWSH,AdvisorShares Dorsey Wright Short ETF,Q,G,Y,100.0,N,N,,DWSH,N
2971,Y,DWSN,Dawson Geophysical Company - Common Stock,Q,Q,N,100.0,N,N,,DWSN,N
2972,Y,DWUS,AdvisorShares Dorsey Wright FSM US Core ETF,Q,G,Y,100.0,N,N,,DWUS,N
2973,Y,DWX,SPDR S&P International Dividend ETF,P, ,Y,100.0,N,,DWX,DWX,N
2974,Y,DX,"Dynex Capital, Inc. Common Stock",N, ,N,100.0,N,,DX,DX,N
2976,Y,DXC,DXC Technology Company Common Stock ,N, ,N,100.0,N,,DXC,DXC,N
2977,Y,DXCM,"DexCom, Inc. - Common Stock",Q,Q,N,100.0,N,N,,DXCM,N
2978,Y,DXD,ProShares UltraShort Dow30,P, ,Y,100.0,N,,DXD,DXD,N
2979,Y,DXF,Dunxin Financial Holdings Limited American Depositary Shares,A, ,N,100.0,N,,DXF,DXF,N
2980,Y,DXGE,WisdomTree Germany Hedged Equity Fund,Q,G,Y,100.0,N,N,,DXGE,N
2981,Y,DXJ,WisdomTree Japan Hedged Equity Fund,P, ,Y,100.0,N,,DXJ,DXJ,N
2982,Y,DXJS,WisdomTree Japan Hedged SmallCap Equity Fund,Q,G,Y,100.0,N,N,,DXJS,N
2983,Y,DXLG,"Destination XL Group, Inc. - Common Stock",Q,G,N,100.0,N,N,,DXLG,N
2984,Y,DXPE,"DXP Enterprises, Inc. - Common Stock",Q,Q,N,100.0,N,N,,DXPE,N
2985,Y,DXR,Daxor Corporation - Closed End Fund,Q,S,N,100.0,N,N,,DXR,N
2986,Y,DXYN,"The Dixie Group, Inc. - Common Stock",Q,G,N,100.0,N,N,,DXYN,N
2987,Y,DY,"Dycom Industries, Inc. Common Stock",N, ,N,100.0,N,,DY,DY,N
2988,Y,DYAI,"Dyadic International, Inc. - Common Stock",Q,S,N,100.0,N,N,,DYAI,N
2989,Y,DYLD,LeaderShares Dynamic Yield ETF,P, ,Y,100.0,N,,DYLD,DYLD,N
2990,Y,DYLG,Global X Funds Global X Dow 30 Covered Call & Growth ETF,P, ,Y,100.0,N,,DYLG,DYLG,N
2991,Y,DYN,"Dyne Therapeutics, Inc. - Common Stock",Q,Q,N,100.0,N,N,,DYN,N
2992,Y,DYNF,BlackRock U.S. Equity Factor Rotation ETF,P, ,Y,100.0,N,,DYNF,DYNF,N
2993,Y,DYNT,Dynatronics Corporation - Common Stock,Q,S,N,100.0,N,D,,DYNT,N
2994,Y,DYTA,SGI Dynamic Tactical ETF,Q,G,Y,100.0,N,N,,DYTA,N
2995,Y,DZSI,DZS Inc. - Common Stock,Q,S,N,100.0,N,E,,DZSI,N
2996,Y,DZZ,"DB Gold Double Short ETN due February 15, 2038",P, ,N,100.0,N,,DZZ,DZZ,N
2997,Y,E,ENI S.p.A. Common Stock,N, ,N,100.0,N,,E,E,N
2998,Y,EA,Electronic Arts Inc. - Common Stock,Q,Q,N,100.0,N,N,,EA,N
2999,Y,EAC,Edify Acquisition Corp. - Class A Common Stock,Q,S,N,100.0,N,D,,EAC,N
3000,Y,EACPU,Edify Acquisition Corp. - Units,Q,S,N,100.0,N,D,,EACPU,N
3001,Y,EACPW,Edify Acquisition Corp. - Warrant,Q,S,N,100.0,N,D,,EACPW,N
3002,Y,EAD,Allspring Income Opportunities Fund Common Shares,A, ,N,100.0,N,,EAD,EAD,N
3003,Y,EAF,GrafTech International Ltd. Common Stock,N, ,N,100.0,N,,EAF,EAF,N
3004,Y,EAFD,Simplify Exchange Traded Funds Simplify Developed Ex-US PLUS Downside Convexity ETF,P, ,Y,100.0,N,,EAFD,EAFD,N
3005,Y,EAGG,iShares ESG Aware U.S. Aggregate Bond ETF,P, ,Y,100.0,N,,EAGG,EAGG,N
3007,Y,EAOA,iShares ESG Aware Aggressive Allocation ETF,Z, ,Y,100.0,N,,EAOA,EAOA,N
3008,Y,EAOK,iShares ESG Aware Conservative Allocation ETF,Z, ,Y,100.0,N,,EAOK,EAOK,N
3009,Y,EAOM,iShares ESG Aware Moderate Allocation ETF,Z, ,Y,100.0,N,,EAOM,EAOM,N
3010,Y,EAOR,iShares ESG Aware Growth Allocation ETF,Z, ,Y,100.0,N,,EAOR,EAOR,N
3011,Y,EAPR,Innovator Emerging Markets Power Buffer ETF April,P, ,Y,100.0,N,,EAPR,EAPR,N
3012,Y,EAR,"Eargo, Inc. - Common Stock",Q,Q,N,100.0,N,N,,EAR,N
3013,Y,EARN,Ellington Residential Mortgage REIT Common Shares of Beneficial Interest,N, ,N,100.0,N,,EARN,EARN,N
3014,Y,EASG,Xtrackers MSCI EAFE ESG Leaders Equity ETF,P, ,Y,100.0,N,,EASG,EASG,N
3015,Y,EAST,"Eastside Distilling, Inc. - Common Stock",Q,S,N,100.0,N,D,,EAST,N
3016,Y,EAT,"Brinker International, Inc. Common Stock",N, ,N,100.0,N,,EAT,EAT,N
3017,Y,EATV,Advisors Series Trust VegTech Plant-based Innovation & Climate ETF,P, ,Y,100.0,N,,EATV,EATV,N
3018,Y,EATZ,AdvisorShares Restaurant ETF,P, ,Y,100.0,N,,EATZ,EATZ,N
3019,Y,EB,"Eventbrite, Inc. Class A Common Stock",N, ,N,100.0,N,,EB,EB,N
3020,Y,EBAY,eBay Inc. - Common Stock,Q,Q,N,100.0,N,N,,EBAY,N
3021,Y,EBC,"Eastern Bankshares, Inc. - Common Stock",Q,Q,N,100.0,N,N,,EBC,N
3022,Y,EBET,"EBET, INC. - Common Stock",Q,S,N,100.0,N,D,,EBET,N
3023,Y,EBF,"Ennis, Inc. Common Stock",N, ,N,100.0,N,,EBF,EBF,N
3024,Y,EBIX,"Ebix, Inc. - Common Stock",Q,Q,N,100.0,N,N,,EBIX,N
3025,Y,EBIZ,Global X E-commerce ETF,Q,G,Y,100.0,N,N,,EBIZ,N
3026,Y,EBLU,Ecofin Global Water ESG Fund,P, ,Y,100.0,N,,EBLU,EBLU,N
3027,Y,EBMT,"Eagle Bancorp Montana, Inc. - Common Stock",Q,G,N,100.0,N,N,,EBMT,N
3028,Y,EBND,SPDR Bloomberg Emerging Markets Local Bond ETF,P, ,Y,100.0,N,,EBND,EBND,N
3029,Y,EBON,Ebang International Holdings Inc. - Class A Ordinary Shares,Q,Q,N,100.0,N,N,,EBON,N
3030,Y,EBR,Centrais Electricas Brasileiras S A American Depositary Shares (Each representing one Common Share),N, ,N,100.0,N,,EBR,EBR,N
3032,Y,EBS,"Emergent Biosolutions, Inc. Common Stock",N, ,N,100.0,N,,EBS,EBS,N
3033,Y,EBTC,Enterprise Bancorp Inc - Common Stock,Q,Q,N,100.0,N,N,,EBTC,N
3034,Y,EC,Ecopetrol S.A. American Depositary Shares,N, ,N,100.0,N,,EC,EC,N
3035,Y,ECAT,BlackRock ESG Capital Allocation Term Trust Common Shares of Beneficial Interest,N, ,N,100.0,N,,ECAT,ECAT,N
3036,Y,ECBK,"ECB Bancorp, Inc. - Common Stock",Q,S,N,100.0,N,N,,ECBK,N
3037,Y,ECC,Eagle Point Credit Company Inc. Common Stock,N, ,N,100.0,N,,ECC,ECC,N
3039,Y,ECCC,Eagle Point Credit Company Inc. 6.50% Series C Term Preferred Stock due 2031,N, ,N,100.0,N,,ECCC,ECCC,N
3040,Y,ECCV,Eagle Point Credit Company Inc. 5.375% Notes due 2029,N, ,N,100.0,N,,ECCV,ECCV,N
3041,Y,ECCW,Eagle Point Credit Company Inc. 6.75% Notes due 2031,N, ,N,100.0,N,,ECCW,ECCW,N
3042,Y,ECCX,Eagle Point Credit Company Inc. 6.6875% Notes due 2028,N, ,N,100.0,N,,ECCX,ECCX,N
3043,Y,ECF,Ellsworth Growth and Income Fund Ltd.,A, ,N,100.0,N,,ECF,ECF,N
3045,Y,ECH,iShares Inc. iShares MSCI Chile ETF,Z, ,Y,100.0,N,,ECH,ECH,N
3046,Y,ECL,Ecolab Inc. Common Stock,N, ,N,100.0,N,,ECL,ECL,N
3047,Y,ECLN,First Trust EIP Carbon Impact ETF,P, ,Y,100.0,N,,ECLN,ECLN,N
3048,Y,ECML,EA Series Trust Euclidean Fundamental Value ETF,P, ,Y,100.0,N,,ECML,ECML,N
3049,Y,ECNS,iShares MSCI China Small-Cap ETF,P, ,Y,100.0,N,,ECNS,ECNS,N
3050,Y,ECON,Columbia Emerging Markets Consumer ETF,P, ,Y,100.0,N,,ECON,ECON,N
3051,Y,ECOR,"electroCore, Inc. - Common Stock",Q,S,N,100.0,N,N,,ECOR,N
3052,Y,ECOW,Pacer Emerging Markets Cash Cows 100 ETF,Q,G,Y,100.0,N,N,,ECOW,N
3053,Y,ECPG,Encore Capital Group Inc - Common Stock,Q,Q,N,100.0,N,N,,ECPG,N
3054,Y,ECVT,Ecovyst Inc. Common Stock,N, ,N,100.0,N,,ECVT,ECVT,N
3055,Y,ECX,ECARX Holdings Inc. - Class A Ordinary shares,Q,G,N,100.0,N,N,,ECX,N
3056,Y,ECXWW,ECARX Holdings Inc. - Warrants,Q,S,N,100.0,N,N,,ECXWW,N
3057,Y,ED,"Consolidated Edison, Inc. Common Stock",N, ,N,100.0,N,,ED,ED,N
3058,Y,EDAP,"EDAP TMS S.A. - American Depositary Shares, each representing One Ordinary Share",Q,G,N,100.0,N,N,,EDAP,N
3059,Y,EDBL,Edible Garden AG Incorporated - Common Stock,Q,S,N,100.0,N,N,,EDBL,N
3060,Y,EDBLW,Edible Garden AG Incorporated - Warrant,Q,S,N,100.0,N,N,,EDBLW,N
3061,Y,EDC,Direxion Emerging Markets Bull 3X Shares,P, ,Y,100.0,N,,EDC,EDC,N
3062,Y,EDD,"Morgan Stanley Emerging Markets Domestic Debt Fund, Inc. Common Stock",N, ,N,100.0,N,,EDD,EDD,N
3063,Y,EDEN,iShares Inc iShares MSCI Denmark ETF,Z, ,Y,100.0,N,,EDEN,EDEN,N
3064,Y,EDF,Virtus Stone Harbor Emerging Markets Income Fund Common Shares of Beneficial Interest,N, ,N,100.0,N,,EDF,EDF,N
3065,Y,EDI,Virtus Stone Harbor Emerging Markets Total Income Fund Common Shares of Beneficial Interest,N, ,N,100.0,N,,EDI,EDI,N
3066,Y,EDIT,"Editas Medicine, Inc. - Common Stock",Q,Q,N,100.0,N,N,,EDIT,N
3067,Y,EDIV,SPDR S&P Emerging Markets Dividend ETF,P, ,Y,100.0,N,,EDIV,EDIV,N
3068,Y,EDN,Empresa Distribuidora Y Comercializadora Norte S.A. (Edenor) American Depositary Shares,N, ,N,100.0,N,,EDN,EDN,N
3069,Y,EDOC,Global X Telemedicine & Digital Health ETF,Q,G,Y,100.0,N,N,,EDOC,N
3070,Y,EDOG,ALPS Emerging Sector Dividend Dogs ETF,P, ,Y,100.0,N,,EDOG,EDOG,N
3071,Y,EDOW,First Trust Dow 30 Equal Weight ETF,P, ,Y,100.0,N,,EDOW,EDOW,N
3072,Y,EDR,"Endeavor Group Holdings, Inc. Class A Common Stock",N, ,N,100.0,N,,EDR,EDR,N
3073,Y,EDRY,EuroDry Ltd. - Common Shares,Q,S,N,100.0,N,N,,EDRY,N
3074,Y,EDSA,"Edesa Biotech, Inc. - Common Shares",Q,S,N,100.0,N,D,,EDSA,N
3075,Y,EDTK,Skillful Craftsman Education Technology Limited - Ordinary Share,Q,S,N,100.0,N,N,,EDTK,N
3076,Y,EDU,"New Oriental Education & Technology Group, Inc. Sponsored ADR representing 10 Ordinary Share (Cayman Islands)",N, ,N,100.0,N,,EDU,EDU,N
3077,Y,EDUC,Educational Development Corporation - Common Stock,Q,G,N,100.0,N,N,,EDUC,N
3078,Y,EDUT,Global X Education ETF,Q,G,Y,100.0,N,N,,EDUT,N
3079,Y,EDV,Vanguard Extended Duration Treasury ETF,P, ,Y,100.0,N,,EDV,EDV,N
3080,Y,EDZ,Direxion Emerging Markets Bear 3X Shares,P, ,Y,100.0,N,,EDZ,EDZ,N
3081,Y,EE,"Excelerate Energy, Inc. Class A Common Stock",N, ,N,100.0,N,,EE,EE,N
3082,Y,EEA,"The European Equity Fund, Inc. Common Stock",N, ,N,100.0,N,,EEA,EEA,N
3083,Y,EEFT,"Euronet Worldwide, Inc. - Common Stock",Q,Q,N,100.0,N,N,,EEFT,N
3084,Y,EEIQ,EpicQuest Education Group International Limited - Common Stock,Q,S,N,100.0,N,N,,EEIQ,N
3085,Y,EELV,Invesco S&P Emerging Markets Low Volatility ETF,P, ,Y,100.0,N,,EELV,EELV,N
3086,Y,EEM,iShares MSCI Emerging Index Fund,P, ,Y,100.0,N,,EEM,EEM,N
3087,Y,EEMA,iShares MSCI Emerging Markets Asia ETF,Q,G,Y,100.0,N,N,,EEMA,N
3088,Y,EEMD,AAM S&P Emerging Markets High Dividend Value ETF,P, ,Y,100.0,N,,EEMD,EEMD,N
3089,Y,EEMO,Invesco S&P Emerging Markets Momentum ETF,P, ,Y,100.0,N,,EEMO,EEMO,N
3090,Y,EEMS,Ishares MSCI Emerging Markets Small Cap Index Fund,P, ,Y,100.0,N,,EEMS,EEMS,N
3091,Y,EEMV,iShares MSCI Emerging Markets Min Vol Factor ETF,Z, ,Y,100.0,N,,EEMV,EEMV,N
3092,Y,EEMX,SPDR MSCI Emerging Markets Fuel Reserves Free ETF,P, ,Y,100.0,N,,EEMX,EEMX,N
3093,Y,EES,WisdomTree U.S. SmallCap Fund,P, ,Y,100.0,N,,EES,EES,N
3094,Y,EET,ProShares Ultra MSCI Emerging Markets,P, ,Y,100.0,N,,EET,EET,N
3095,Y,EEV,ProShares UltraShort MSCI Emerging Markets,P, ,Y,100.0,N,,EEV,EEV,N
3096,Y,EEX,"Emerald Holding, Inc. Common Stock",N, ,N,100.0,N,,EEX,EEX,N
3097,Y,EFA,iShares MSCI EAFE ETF,P, ,Y,100.0,N,,EFA,EFA,N
3098,Y,EFAD,ProShares Trust ProShares MSCI EAFE Dividend Growers ETF,Z, ,Y,100.0,N,,EFAD,EFAD,N
3099,Y,EFAS,Global X MSCI SuperDividend EAFE ETF,Q,G,Y,100.0,N,N,,EFAS,N
3100,Y,EFAV,iShares MSCI EAFE Min Vol Factor ETF,Z, ,Y,100.0,N,,EFAV,EFAV,N
3101,Y,EFAX,SPDR MSCI EAFE Fossil Fuel Reserves Free ETF,P, ,Y,100.0,N,,EFAX,EFAX,N
3102,Y,EFC,Ellington Financial Inc. Common Stock ,N, ,N,100.0,N,,EFC,EFC,N
3106,Y,EFG,iShares MSCI EAFE Growth ETF,Z, ,Y,100.0,N,,EFG,EFG,N
3107,Y,EFHT,EF Hutton Acquisition Corporation I - Common Stock,Q,G,N,100.0,N,N,,EFHT,N
3109,Y,EFHTW,EF Hutton Acquisition Corporation I - Warrant,Q,G,N,100.0,N,N,,EFHTW,N
3110,Y,EFIV,SPDR S&P 500 ESG ETF,P, ,Y,100.0,N,,EFIV,EFIV,N
3111,Y,EFIX,First Trust Exchange-Traded Fund VIII First Trust TCW Emerging Markets Debt ETF,P, ,Y,100.0,N,,EFIX,EFIX,N
3112,Y,EFNL,iShares Inc iShares MSCI Finland ETF,Z, ,Y,100.0,N,,EFNL,EFNL,N
3113,Y,EFO,ProShares Ultra MSCI EAFE,P, ,Y,100.0,N,,EFO,EFO,N
3114,Y,EFOI,"Energy Focus, Inc. - Common Stock",Q,S,N,100.0,N,N,,EFOI,N
3115,Y,EFR,Eaton Vance Senior Floating-Rate Fund Common Shares of Beneficial Interest,N, ,N,100.0,N,,EFR,EFR,N
3116,Y,EFRA,iShares Environmental Infrastructure and Industrials ETF,Q,G,Y,100.0,N,N,,EFRA,N
3117,Y,EFSC,Enterprise Financial Services Corporation - Common Stock,Q,Q,N,100.0,N,N,,EFSC,N
3118,Y,EFSCP,"Enterprise Financial Services Corporation - Depositary Shares Each Representing a 1/40th Interest in a Share of 5% Fixed Rate Non-Cumulative Perpetual Preferred Stock, Series A",Q,Q,N,100.0,N,N,,EFSCP,N
3119,Y,EFSH,1847 Holdings LLC Common Shares,A, ,N,100.0,N,,EFSH,EFSH,N
3120,Y,EFT,Eaton Vance Floating Rate Income Trust Common Shares of Beneficial Interest,N, ,N,100.0,N,,EFT,EFT,N
3121,Y,EFTR,"eFFECTOR Therapeutics, Inc. - Common Stock",Q,S,N,100.0,N,D,,EFTR,N
3122,Y,EFTRW,"eFFECTOR Therapeutics, Inc. - Warrant",Q,S,N,100.0,N,N,,EFTRW,N
3123,Y,EFU,ProShares UltraShort MSCI EAFE,P, ,Y,100.0,N,,EFU,EFU,N
3124,Y,EFV,iShares MSCI EAFE Value ETF,Z, ,Y,100.0,N,,EFV,EFV,N
3125,Y,EFX,"Equifax, Inc. Common Stock",N, ,N,100.0,N,,EFX,EFX,N
3126,Y,EFXT,Enerflex Ltd Common Shares,N, ,N,100.0,N,,EFXT,EFXT,N
3127,Y,EFZ,ProShares Short MSCI EAFE,P, ,Y,100.0,N,,EFZ,EFZ,N
3128,Y,EG,"Everest Group, Ltd. Common Stock",N, ,N,100.0,N,,EG,EG,N
3129,Y,EGAN,eGain Corporation - Common Stock,Q,S,N,100.0,N,N,,EGAN,N
3130,Y,EGBN,"Eagle Bancorp, Inc. - Common Stock",Q,S,N,100.0,N,N,,EGBN,N
3131,Y,EGF,"Blackrock Enhanced Government Fund, Inc. Common Stock",N, ,N,100.0,N,,EGF,EGF,N
3132,Y,EGGF,EG Acquisition Corp. Class A Common Stock,N, ,N,100.0,N,,EGGF,EGGF,N
3135,Y,EGHT,8x8 Inc - Common stock,Q,Q,N,100.0,N,N,,EGHT,N
3136,Y,EGIO,"Edgio, Inc. - Common Stock",Q,Q,N,100.0,N,H,,EGIO,N
3137,Y,EGLE,Eagle Bulk Shipping Inc. Common Stock,N, ,N,100.0,N,,EGLE,EGLE,N
3138,Y,EGLX,Enthusiast Gaming Holdings Inc. - Common Stock,Q,S,N,100.0,N,D,,EGLX,N
3139,Y,EGO,Eldorado Gold Corporation Ordinary Shares,N, ,N,100.0,N,,EGO,EGO,N
3140,Y,EGP,"EastGroup Properties, Inc. Common Stock",N, ,N,100.0,N,,EGP,EGP,N
3141,Y,EGPT,VanEck Egypt Index ETF,P, ,Y,100.0,N,,EGPT,EGPT,N
3142,Y,EGRX,"Eagle Pharmaceuticals, Inc. - Common Stock",Q,G,N,100.0,N,N,,EGRX,N
3143,Y,EGUS,iShares Trust iShares ESG Aware MSCI USA Growth ETF,Z, ,Y,100.0,N,,EGUS,EGUS,N
3144,Y,EGY,"VAALCO Energy, Inc.  Common Stock",N, ,N,100.0,N,,EGY,EGY,N
3145,Y,EH,EHang Holdings Limited - ADS,Q,G,N,100.0,N,N,,EH,N
3146,Y,EHAB,"Enhabit, Inc. Common Stock",N, ,N,100.0,N,,EHAB,EHAB,N
3147,Y,EHC,Encompass Health Corporation Common Stock,N, ,N,100.0,N,,EHC,EHC,N
3148,Y,EHI,Western Asset Global High Income Fund Inc Common Stock,N, ,N,100.0,N,,EHI,EHI,N
3149,Y,EHTH,"eHealth, Inc. - Common Stock",Q,Q,N,100.0,N,N,,EHTH,N
3150,Y,EIC,Eagle Point Income Company Inc. Common Stock,N, ,N,100.0,N,,EIC,EIC,N
3151,Y,EICA,Eagle Point Income Company Inc. 5.00% Series A Term Preferred Stock due 2026,N, ,N,100.0,N,,EICA,EICA,N
3152,Y,EICB,Eagle Point Income Company Inc. 7.75% Series B Term Preferred Stock Due 2028,N, ,N,100.0,N,,EICB,EICB,N
3153,Y,EIDO,iShares MSCI Indonesia ETF,P, ,Y,100.0,N,,EIDO,EIDO,N
3154,Y,EIG,Employers Holdings Inc Common Stock,N, ,N,100.0,N,,EIG,EIG,N
3155,Y,EIGR,"Eiger BioPharmaceuticals, Inc. - Common Stock",Q,G,N,100.0,N,D,,EIGR,N
3156,Y,EIM,"Eaton Vance Municipal Bond Fund Common Shares of Beneficial Interest, $.01 par value",A, ,N,100.0,N,,EIM,EIM,N
3157,Y,EINC,VanEck Energy Income ETF,P, ,Y,100.0,N,,EINC,EINC,N
3158,Y,EIPX,First Trust Exchange-Traded Fund IV FT Energy Income Partners Strategy ETF,P, ,Y,100.0,N,,EIPX,EIPX,N
3159,Y,EIRL,iShares Trust iShares MSCI Ireland ETF,P, ,Y,100.0,N,,EIRL,EIRL,N
3160,Y,EIS,iShares Inc iShares MSCI Israel ETF,P, ,Y,100.0,N,,EIS,EIS,N
3161,Y,EIX,Edison International Common Stock,N, ,N,100.0,N,,EIX,EIX,N
3162,Y,EJAN,Innovator Emerging Markets Power Buffer ETF January,P, ,Y,100.0,N,,EJAN,EJAN,N
3163,Y,EJH,E-Home Household Service Holdings Limited - Ordinary shares,Q,S,N,100.0,N,D,,EJH,N
3164,Y,EJUL,Innovator Emerging Markets Power Buffer ETF July,P, ,Y,100.0,N,,EJUL,EJUL,N
3165,Y,EKG,First Trust Nasdaq Lux Digital Health Solutions ETF,Q,G,Y,100.0,N,N,,EKG,N
3166,Y,EKSO,"Ekso Bionics Holdings, Inc. - Common Stock",Q,S,N,100.0,N,N,,EKSO,N
3167,Y,EL,"Estee Lauder Companies, Inc. (The) Common Stock",N, ,N,100.0,N,,EL,EL,N
3168,Y,ELA,Envela Corporation Common Stock,A, ,N,100.0,N,,ELA,ELA,N
3169,Y,ELAN,Elanco Animal Health Incorporated Common Stock,N, ,N,100.0,N,,ELAN,ELAN,N
3170,Y,ELBM,Electra Battery Materials Corporation - Common Stock,Q,S,N,100.0,N,N,,ELBM,N
3171,Y,ELC,"Entergy Louisiana, Inc. Collateral Trust Mortgage Bonds, 4.875 % Series due September 1, 2066",N, ,N,100.0,N,,ELC,ELC,N
3172,Y,ELD,WisdomTree Emerging Markets Local Debt Fund,P, ,Y,100.0,N,,ELD,ELD,N
3173,Y,ELDN,"Eledon Pharmaceuticals, Inc. - Common Stock",Q,S,N,100.0,N,N,,ELDN,N
3174,Y,ELEV,"Elevation Oncology, Inc. - Common stock",Q,Q,N,100.0,N,N,,ELEV,N
3175,Y,ELF,"e.l.f. Beauty, Inc. Common Stock",N, ,N,100.0,N,,ELF,ELF,N
3176,Y,ELIQ,"Electriq Power Holdings, Inc. Class A Common Stock",N, ,N,100.0,N,,ELIQ,ELIQ,N
3178,Y,ELLO,Ellomay Capital Ltd Ordinary Shares (Israel),A, ,N,100.0,N,,ELLO,ELLO,N
3179,Y,ELMD,"Electromed, Inc. Common Stock",A, ,N,100.0,N,,ELMD,ELMD,N
3180,Y,ELME,Elme Communities Common Stock,N, ,N,100.0,N,,ELME,ELME,N
3181,Y,ELOX,"Eloxx Pharmaceuticals, Inc. - Common Stock",Q,S,N,100.0,N,D,,ELOX,N
3182,Y,ELP,Companhia Paranaense de Energia (COPEL) American Depositary Shares (each representing one Unit consisting one Common Share and four non-voting Class B Preferred Shares),N, ,N,100.0,N,,ELP,ELP,N
3183,Y,ELQD,iShares ESG Advanced Investment Grade Corporate Bond ETF,P, ,Y,100.0,N,,ELQD,ELQD,N
3184,Y,ELS,"Equity Lifestyle Properties, Inc. Common Stock",N, ,N,100.0,N,,ELS,ELS,N
3185,Y,ELSE,"Electro-Sensors, Inc. - Common Stock",Q,S,N,100.0,N,N,,ELSE,N
3186,Y,ELTK,Eltek Ltd. - Ordinary Shares,Q,S,N,100.0,N,N,,ELTK,N
3187,Y,ELTX,"Elicio Therapeutics, Inc. - Common Stock",Q,G,N,100.0,N,N,,ELTX,N
3188,Y,ELV,"Elevance Health, Inc. Common Stock",N, ,N,100.0,N,,ELV,ELV,N
3189,Y,ELVA,Electrovaya Inc. - Common Shares,Q,S,N,100.0,N,N,,ELVA,N
3190,Y,ELVN,"Enliven Therapeutics, Inc.  - Common Stock",Q,Q,N,100.0,N,N,,ELVN,N
3191,Y,ELWS,"Earlyworks Co., Ltd. - American Depositary Shares",Q,S,N,100.0,N,N,,ELWS,N
3192,Y,ELYM,"Eliem Therapeutics, Inc - Common Stock",Q,G,N,100.0,N,N,,ELYM,N
3193,Y,ELYS,"Elys Game Technology, Corp.  - Common Stock",Q,S,N,100.0,N,D,,ELYS,N
3194,Y,EM,Smart Share Global Limited - American Depositary Shares,Q,Q,N,100.0,N,D,,EM,N
3195,Y,EMAN,eMagin Corporation Common Stock,A, ,N,100.0,N,,EMAN,EMAN,N
3196,Y,EMB,iShares J.P. Morgan USD Emerging Markets Bond ETF,Q,G,Y,100.0,N,N,,EMB,N
3197,Y,EMBC,Embecta Corp. - Common Stock,Q,Q,N,100.0,N,N,,EMBC,N
3198,Y,EMBD,Global X Emerging Markets Bond ETF,P, ,Y,100.0,N,,EMBD,EMBD,N
3199,Y,EMC,Global X Funds Global X Emerging Markets Great Consumer ETF,P, ,Y,100.0,N,,EMC,EMC,N
3200,Y,EMCB,WisdomTree Emerging Markets Corporate Bond Fund,Q,G,Y,100.0,N,N,,EMCB,N
3201,Y,EMCG,Embrace Change Acquisition Corp - Ordinary Shares,Q,G,N,100.0,N,N,,EMCG,N
3203,Y,EMCGU,Embrace Change Acquisition Corp - Units,Q,G,N,100.0,N,N,,EMCGU,N
3204,Y,EMCGW,Embrace Change Acquisition Corp - Warrants,Q,G,N,100.0,N,N,,EMCGW,N
3205,Y,EMCR,Xtrackers Emerging Markets Carbon Reduction and Climate Improvers ETF,P, ,Y,100.0,N,,EMCR,EMCR,N
3206,Y,EMD,Western Asset Emerging Markets Debt Fund Inc Common Stock,N, ,N,100.0,N,,EMD,EMD,N
3207,Y,EMDM,First Trust Exchange-Traded Fund II First Trust Bloomberg Emerging Market Democracies ETF,P, ,Y,100.0,N,,EMDM,EMDM,N
3208,Y,EMDV,ProShares MSCI Emerging Markets Dividend Growers ETF,Z, ,Y,100.0,N,,EMDV,EMDV,N
3209,Y,EME,"EMCOR Group, Inc. Common Stock",N, ,N,100.0,N,,EME,EME,N
3210,Y,EMF,Templeton Emerging Markets Fund Common Stock,N, ,N,100.0,N,,EMF,EMF,N
3211,Y,EMFM,Global X MSCI Next Emerging & Frontier ETF,P, ,Y,100.0,N,,EMFM,EMFM,N
3212,Y,EMFQ,Amplify Emerging Markets FinTech ETF,P, ,Y,100.0,N,,EMFQ,EMFQ,N
3213,Y,EMGD,Simplify Exchange Traded Funds Simplify Emerging Markets Equity PLUS Downside Convexity ETF,P, ,Y,100.0,N,,EMGD,EMGD,N
3214,Y,EMGF,iShares Emerging Markets Equity Factor ETF,Z, ,Y,100.0,N,,EMGF,EMGF,N
3215,Y,EMHC,SPDR Bloomberg Emerging Markets USD Bond ETF,P, ,Y,100.0,N,,EMHC,EMHC,N
3216,Y,EMHY,iShares J.P. Morgan EM High Yield Bond ETF,Z, ,Y,100.0,N,,EMHY,EMHY,N
3217,Y,EMIF,iShares Emerging Markets Infrastructure ETF,Q,G,Y,100.0,N,N,,EMIF,N
3218,Y,EMKR,EMCORE Corporation - Common Stock,Q,G,N,100.0,N,D,,EMKR,N
