,Nasdaq Traded,Symbol,Security Name,Listing Exchange,Market Category,ETF,Round Lot Size,Test Issue,Financial Status,CQS Symbol,NASDAQ Symbol,NextShares
27,Y,AAON,"AAON, Inc. - Common Stock",Q,Q,N,100.0,N,N,,AAON,N
28,Y,AAP,Advance Auto Parts Inc.,N, ,N,100.0,N,,AAP,AAP,N
29,Y,AAPB,GraniteShares 1.75x Long AAPL Daily ETF,Q,G,Y,100.0,N,N,,AAPB,N
30,Y,AAPD,Direxion Daily AAPL Bear 1X Shares,Q,G,Y,100.0,N,N,,AAPD,N
31,Y,AAPL,Apple Inc. - Common Stock,Q,Q,N,100.0,N,N,,AAPL,N
32,Y,AAPU,Direxion Daily AAPL Bull 1.5X Shares,Q,G,Y,100.0,N,N,,AAPU,N
33,Y,AAT,"American Assets Trust, Inc. Common Stock",N, ,N,100.0,N,,AAT,AAT,N
34,Y,AAU,"Almaden Minerals, Ltd. Common Shares",A, ,N,100.0,N,,AAU,AAU,N
35,Y,AAXJ,iShares MSCI All Country Asia ex Japan ETF,Q,G,Y,100.0,N,N,,AAXJ,N
36,Y,AB,AllianceBernstein Holding L.P.  Units,N, ,N,100.0,N,,AB,AB,N
37,Y,ABBV,AbbVie Inc. Common Stock,N, ,N,100.0,N,,ABBV,ABBV,N
38,Y,ABCB,Ameris Bancorp - Common Stock,Q,Q,N,100.0,N,N,,ABCB,N
39,Y,ABCL,AbCellera Biologics Inc. - Common Shares,Q,Q,N,100.0,N,N,,ABCL,N
40,Y,ABCM,Abcam plc - American Depositary Shares,Q,Q,N,100.0,N,N,,ABCM,N
41,Y,ABEO,Abeona Therapeutics Inc. - Common Stock,Q,S,N,100.0,N,N,,ABEO,N
42,Y,ABEQ,Absolute Select Value ETF,P, ,Y,100.0,N,,ABEQ,ABEQ,N
43,Y,ABEV,Ambev S.A. American Depositary Shares (Each representing 1 Common Share),N, ,N,100.0,N,,ABEV,ABEV,N
44,Y,ABG,Asbury Automotive Group Inc Common Stock,N, ,N,100.0,N,,ABG,ABG,N
45,Y,ABIO,"ARCA biopharma, Inc. - Common Stock",Q,S,N,100.0,N,N,,ABIO,N
46,Y,ABL,"Abacus Life, Inc. - Class A Common Stock",Q,S,N,100.0,N,N,,ABL,N
47,Y,ABLLW,"Abacus Life, Inc. - Warrant",Q,S,N,100.0,N,N,,ABLLW,N
48,Y,ABLV,Able View Global Inc. - Class B Ordinary Shares,Q,S,N,100.0,N,N,,ABLV,N
49,Y,ABLVW,Able View Global Inc. - Warrant,Q,S,N,100.0,N,N,,ABLVW,N
50,Y,ABM,ABM Industries Incorporated Common Stock,N, ,N,100.0,N,,ABM,ABM,N
51,Y,ABNB,"Airbnb, Inc. - Class A Common Stock",Q,Q,N,100.0,N,N,,ABNB,N
52,Y,ABOS,"Acumen Pharmaceuticals, Inc. - Common Stock",Q,Q,N,100.0,N,N,,ABOS,N
53,Y,ABR,Arbor Realty Trust Common Stock,N, ,N,100.0,N,,ABR,ABR,N
57,Y,ABSI,Absci Corporation - Common Stock,Q,Q,N,100.0,N,N,,ABSI,N
58,Y,ABT,Abbott Laboratories Common Stock,N, ,N,100.0,N,,ABT,ABT,N
59,Y,ABUS,Arbutus Biopharma Corporation - Common Stock,Q,Q,N,100.0,N,N,,ABUS,N
60,Y,ABVC,"ABVC BioPharma, Inc. - Common Stock",Q,S,N,100.0,N,D,,ABVC,N
61,Y,AC,"Associated Capital Group, Inc. Common Stock",N, ,N,100.0,N,,AC,AC,N
62,Y,ACA,"Arcosa, Inc. Common Stock ",N, ,N,100.0,N,,ACA,ACA,N
63,Y,ACAB,Atlantic Coastal Acquisition Corp. II - Class A Common Stock,Q,G,N,100.0,N,N,,ACAB,N
64,Y,ACABU,Atlantic Coastal Acquisition Corp. II - Unit,Q,G,N,100.0,N,N,,ACABU,N
65,Y,ACABW,Atlantic Coastal Acquisition Corp. II - Warrant,Q,G,N,100.0,N,N,,ACABW,N
66,Y,ACAC,Acri Capital Acquisition Corporation - Class A Common Stock,Q,S,N,100.0,N,N,,ACAC,N
67,Y,ACACU,Acri Capital Acquisition Corporation - Unit,Q,S,N,100.0,N,N,,ACACU,N
68,Y,ACACW,Acri Capital Acquisition Corporation - Warrant,Q,S,N,100.0,N,N,,ACACW,N
69,Y,ACAD,ACADIA Pharmaceuticals Inc. - Common Stock,Q,Q,N,100.0,N,N,,ACAD,N
70,Y,ACAH,Atlantic Coastal Acquisition Corp. - Class A Common Stock,Q,S,N,100.0,N,E,,ACAH,N
71,Y,ACAHU,Atlantic Coastal Acquisition Corp. - Unit,Q,S,N,100.0,N,E,,ACAHU,N
72,Y,ACAHW,Atlantic Coastal Acquisition Corp. - Warrant,Q,S,N,100.0,N,E,,ACAHW,N
73,Y,ACAQ,Athena Consumer Acquisition Corp. Class A Common Stock,A, ,N,100.0,N,,ACAQ,ACAQ,N
76,Y,ACAX,Alset Capital Acquisition Corp. - Class A Common Stock,Q,G,N,100.0,N,D,,ACAX,N
78,Y,ACAXU,Alset Capital Acquisition Corp. - Unit,Q,G,N,100.0,N,D,,ACAXU,N
79,Y,ACAXW,Alset Capital Acquisition Corp. - Warrant,Q,G,N,100.0,N,D,,ACAXW,N
80,Y,ACB,Aurora Cannabis Inc. - Common Shares,Q,Q,N,100.0,N,D,,ACB,N
81,Y,ACBA,Ace Global Business Acquisition Limited - Ordinary Shares,Q,S,N,100.0,N,N,,ACBA,N
82,Y,ACBAU,Ace Global Business Acquisition Limited - Unit,Q,S,N,100.0,N,N,,ACBAU,N
83,Y,ACBAW,Ace Global Business Acquisition Limited - Warrant,Q,S,N,100.0,N,N,,ACBAW,N
84,Y,ACCD,"Accolade, Inc. - common stock",Q,Q,N,100.0,N,N,,ACCD,N
85,Y,ACCO,Acco Brands Corporation Common Stock,N, ,N,100.0,N,,ACCO,ACCO,N
86,Y,ACDC,ProFrac Holding Corp. - Class A Common Stock,Q,Q,N,100.0,N,N,,ACDC,N
87,Y,ACDCW,ProFrac Holding Corp. - Warrant,Q,Q,N,100.0,N,N,,ACDCW,N
88,Y,ACEL,"Accel Entertainment, Inc. ",N, ,N,100.0,N,,ACEL,ACEL,N
89,Y,ACER,Acer Therapeutics Inc. - Common Stock,Q,S,N,100.0,N,D,,ACER,N
90,Y,ACES,ALPS Clean Energy ETF,P, ,Y,100.0,N,,ACES,ACES,N
91,Y,ACET,"Adicet Bio, Inc. - Common Stock",Q,G,N,100.0,N,N,,ACET,N
92,Y,ACGL,Arch Capital Group Ltd. - Common Stock,Q,Q,N,100.0,N,N,,ACGL,N
93,Y,ACGLN,"Arch Capital Group Ltd. - Depositary Shares, each Representing a 1/1,000th Interest in a 4.550% Non-Cumulative Preferred Share, Series G",Q,Q,N,100.0,N,N,,ACGLN,N
94,Y,ACGLO,"Arch Capital Group Ltd. - Depositary Shares Each Representing 1/1,000th Interest in a Share of5.45% Non-Cumulative Preferred Shares, Series F",Q,Q,N,100.0,N,N,,ACGLO,N
95,Y,ACHC,"Acadia Healthcare Company, Inc. - Common Stock",Q,Q,N,100.0,N,N,,ACHC,N
96,Y,ACHL,Achilles Therapeutics plc - American Depositary Shares,Q,Q,N,100.0,N,N,,ACHL,N
97,Y,ACHR,Archer Aviation Inc. Class A Common Stock,N, ,N,100.0,N,,ACHR,ACHR,N
99,Y,ACHV,"Achieve Life Sciences, Inc.  - Common Shares",Q,S,N,100.0,N,N,,ACHV,N
100,Y,ACI,"Albertsons Companies, Inc. Class A Common Stock",N, ,N,100.0,N,,ACI,ACI,N
101,Y,ACIC,American Coastal Insurance Corporation - Common Stock,Q,S,N,100.0,N,N,,ACIC,N
102,Y,ACIO,Aptus Collared Investment Opportunity ETF,Z, ,Y,100.0,N,,ACIO,ACIO,N
103,Y,ACIU,AC Immune SA - Common Stock,Q,G,N,100.0,N,N,,ACIU,N
104,Y,ACIW,"ACI Worldwide, Inc. - Common Stock",Q,Q,N,100.0,N,N,,ACIW,N
105,Y,ACLS,"Axcelis Technologies, Inc. - Common Stock",Q,Q,N,100.0,N,N,,ACLS,N
106,Y,ACLX,"Arcellx, Inc. - Common Stock",Q,Q,N,100.0,N,N,,ACLX,N
107,Y,ACM,AECOM Common Stock,N, ,N,100.0,N,,ACM,ACM,N
108,Y,ACMR,"ACM Research, Inc. - Class A Common Stock",Q,G,N,100.0,N,N,,ACMR,N
109,Y,ACN,Accenture plc Class A Ordinary Shares (Ireland),N, ,N,100.0,N,,ACN,ACN,N
110,Y,ACNB,ACNB Corporation - Common Stock,Q,S,N,100.0,N,N,,ACNB,N
111,Y,ACNT,Ascent Industries Co. - Common Stock,Q,G,N,100.0,N,N,,ACNT,N
112,Y,ACON,"Aclarion, Inc. - Common Stock",Q,S,N,100.0,N,D,,ACON,N
113,Y,ACONW,"Aclarion, Inc. - Warrant",Q,S,N,100.0,N,D,,ACONW,N
114,Y,ACOR,"Acorda Therapeutics, Inc. - Common Stock",Q,Q,N,100.0,N,N,,ACOR,N
115,Y,ACP,abrdn Income Credit Strategies Fund Common Shares,N, ,N,100.0,N,,ACP,ACP,N
117,Y,ACR,ACRES Commercial Realty Corp. Common Stock,N, ,N,100.0,N,,ACR,ACR,N
120,Y,ACRE,Ares Commercial Real Estate Corporation Common Stock,N, ,N,100.0,N,,ACRE,ACRE,N
121,Y,ACRO,Acropolis Infrastructure Acquisition Corp. Class A Common Stock,N, ,N,100.0,N,,ACRO,ACRO,N
124,Y,ACRS,"Aclaris Therapeutics, Inc. - Common Stock",Q,Q,N,100.0,N,N,,ACRS,N
125,Y,ACRV,"Acrivon Therapeutics, Inc. - Common Stock",Q,G,N,100.0,N,N,,ACRV,N
126,Y,ACRX,"AcelRx Pharmaceuticals, Inc. - Common Stock",Q,G,N,100.0,N,N,,ACRX,N
127,Y,ACSI,American Customer Satisfaction ETF,Z, ,Y,100.0,N,,ACSI,ACSI,N
128,Y,ACST,"Acasti Pharma, Inc.  - Class A Common Stock",Q,S,N,100.0,N,N,,ACST,N
129,Y,ACT,"Enact Holdings, Inc. - Common Stock",Q,Q,N,100.0,N,N,,ACT,N
130,Y,ACTG,Acacia Research Corporation - Common Stock,Q,Q,N,100.0,N,N,,ACTG,N
131,Y,ACTV,LeaderShares Activist Leaders ETF,P, ,Y,100.0,N,,ACTV,ACTV,N
132,Y,ACU,Acme United Corporation. Common Stock,A, ,N,100.0,N,,ACU,ACU,N
133,Y,ACV,Virtus Diversified Income & Convertible Fund Common Shares of Beneficial Interest,N, ,N,100.0,N,,ACV,ACV,N
134,Y,ACVA,ACV Auctions Inc. - Class A Common Stock,Q,Q,N,100.0,N,N,,ACVA,N
135,Y,ACVF,American Conservative Values ETF,P, ,Y,100.0,N,,ACVF,ACVF,N
136,Y,ACWI,iShares MSCI ACWI ETF,Q,G,Y,100.0,N,N,,ACWI,N
137,Y,ACWV,iShares MSCI Global Min Vol Factor ETF,Z, ,Y,100.0,N,,ACWV,ACWV,N
138,Y,ACWX,iShares MSCI ACWI ex U.S. ETF,Q,G,Y,100.0,N,N,,ACWX,N
139,Y,ACXP,"Acurx Pharmaceuticals, Inc. - Common Stock",Q,S,N,100.0,N,N,,ACXP,N
140,Y,ADAG,"Adagene Inc. - ADS, each representing 1.25 ordinary shares",Q,G,N,100.0,N,N,,ADAG,N
141,Y,ADAP,Adaptimmune Therapeutics plc - American Depositary Shares,Q,Q,N,100.0,N,N,,ADAP,N
142,Y,ADBE,Adobe Inc. - Common Stock,Q,Q,N,100.0,N,N,,ADBE,N
143,Y,ADC,Agree Realty Corporation Common Stock,N, ,N,100.0,N,,ADC,ADC,N
145,Y,ADCT,ADC Therapeutics SA Common Shares,N, ,N,100.0,N,,ADCT,ADCT,N
146,Y,ADD,"Color Star Technology Co., Ltd. - Class A Ordinary Shares",Q,S,N,100.0,N,N,,ADD,N
147,Y,ADEA,Adeia Inc.  - Common Stock,Q,Q,N,100.0,N,N,,ADEA,N
148,Y,ADER,26 Capital Acquisition Corp. - Class A Common Stock,Q,S,N,100.0,N,N,,ADER,N
149,Y,ADERU,26 Capital Acquisition Corp. - Unit,Q,S,N,100.0,N,N,,ADERU,N
150,Y,ADERW,26 Capital Acquisition Corp. - Warrant,Q,S,N,100.0,N,N,,ADERW,N
151,Y,ADES,"Advanced Emissions Solutions, Inc. - Common Stock",Q,G,N,100.0,N,N,,ADES,N
152,Y,ADEX,Adit EdTech Acquisition Corp. Common Stock,A, ,N,100.0,N,,ADEX,ADEX,N
155,Y,ADFI,Anfield Dynamic Fixed Income ETF,Z, ,Y,100.0,N,,ADFI,ADFI,N
156,Y,ADI,"Analog Devices, Inc. - Common Stock",Q,Q,N,100.0,N,N,,ADI,N
157,Y,ADIL,"Adial Pharmaceuticals, Inc - Common Stock",Q,S,N,100.0,N,N,,ADIL,N
158,Y,ADIV,SmartETFs Asia Pacific Dividend Builder ETF,P, ,Y,100.0,N,,ADIV,ADIV,N
159,Y,ADM,Archer-Daniels-Midland Company Common Stock,N, ,N,100.0,N,,ADM,ADM,N
160,Y,ADMA,ADMA Biologics Inc - Common Stock,Q,G,N,100.0,N,N,,ADMA,N
161,Y,ADME,Aptus Drawdown Managed Equity ETF,Z, ,Y,100.0,N,,ADME,ADME,N
162,Y,ADMP,Adamis Pharmaceuticals Corporation - Common Stock,Q,S,N,100.0,N,D,,ADMP,N
163,Y,ADN,"Advent Technologies Holdings, Inc. - Class A Common Stock",Q,S,N,100.0,N,D,,ADN,N
164,Y,ADNT,Adient plc Ordinary Shares ,N, ,N,100.0,N,,ADNT,ADNT,N
165,Y,ADNWW,"Advent Technologies Holdings, Inc. - Warrant",Q,S,N,100.0,N,N,,ADNWW,N
166,Y,ADOC,Edoc Acquisition Corp. - Class A Ordinary Share,Q,S,N,100.0,N,N,,ADOC,N
168,Y,ADOCW,Edoc Acquisition Corp. - Warrant,Q,S,N,100.0,N,N,,ADOCW,N
169,Y,ADP,"Automatic Data Processing, Inc. - Common Stock",Q,Q,N,100.0,N,N,,ADP,N
170,Y,ADPT,Adaptive Biotechnologies Corporation - Common Stock,Q,Q,N,100.0,N,D,,ADPT,N
171,Y,ADPV,Series Portfolios Trust Adaptiv Select ETF,P, ,Y,100.0,N,,ADPV,ADPV,N
172,Y,ADRT,Ault Disruptive Technologies Corporation Common Stock,A, ,N,100.0,N,,ADRT,ADRT,N
174,Y,ADSE,ADS-TEC ENERGY PLC - Ordinary Shares,Q,S,N,100.0,N,N,,ADSE,N
